Establishing watches...
Finished establishing watches, now collecting statistics.
total  access  close_nowrite  open  create  filename
12     6       3              3     0       fsroot/aab/bad/caa/
12     6       3              3     0       fsroot/aab/bad/cab/
12     6       3              3     0       fsroot/aab/bad/cad/
12     6       3              3     0       fsroot/aab/bad/cae/
12     6       3              3     0       fsroot/aab/bad/caf/
12     6       3              3     0       fsroot/aab/bad/cag/
12     6       3              3     0       fsroot/aab/bae/caa/
12     6       3              3     0       fsroot/aab/bae/cab/
12     6       3              3     0       fsroot/aab/bae/cad/
12     6       3              3     0       fsroot/aab/bae/cae/
12     6       3              3     0       fsroot/aab/bae/caf/
12     6       3              3     0       fsroot/aab/bae/cag/
12     6       3              3     0       fsroot/aab/baf/cab/
12     6       3              3     0       fsroot/aab/baf/cae/
12     6       3              3     0       fsroot/aab/baf/caa/
12     6       3              3     0       fsroot/aab/baf/caf/
12     6       3              3     0       fsroot/aab/baf/cad/
12     6       3              3     0       fsroot/aab/baf/cac/
12     6       3              3     0       fsroot/aab/baf/cag/
12     6       3              3     0       fsroot/aab/bag/cac/
12     6       3              3     0       fsroot/aab/bag/cab/
12     6       3              3     0       fsroot/aab/bag/caa/
12     6       3              3     0       fsroot/aab/bag/caf/
12     6       3              3     0       fsroot/aab/bag/cag/
12     6       3              3     0       fsroot/aac/baa/caa/
12     6       3              3     0       fsroot/aac/baa/cab/
12     6       3              3     0       fsroot/aac/baa/cac/
12     6       3              3     0       fsroot/aac/baa/cad/
12     6       3              3     0       fsroot/aac/baa/caf/
12     6       3              3     0       fsroot/aac/baa/cag/
12     6       3              3     0       fsroot/aac/bab/caa/
12     6       3              3     0       fsroot/aac/bab/cab/
12     6       3              3     0       fsroot/aac/bab/cac/
12     6       3              3     0       fsroot/aac/bab/cad/
12     6       3              3     0       fsroot/aac/bab/caf/
12     6       3              3     0       fsroot/aac/bab/cag/
12     6       3              3     0       fsroot/aac/bac/caa/
12     6       3              3     0       fsroot/aac/bac/cab/
12     6       3              3     0       fsroot/aac/bac/cac/
12     6       3              3     0       fsroot/aac/bac/cae/
12     6       3              3     0       fsroot/aac/bac/caf/
12     6       3              3     0       fsroot/aac/bac/cag/
12     6       3              3     0       fsroot/aac/bad/caa/
12     6       3              3     0       fsroot/aac/bad/cab/
12     6       3              3     0       fsroot/aac/bad/cac/
12     6       3              3     0       fsroot/aac/bad/cad/
12     6       3              3     0       fsroot/aac/bad/caf/
12     6       3              3     0       fsroot/aac/bad/cag/
12     6       3              3     0       fsroot/aac/bae/caa/
12     6       3              3     0       fsroot/aac/bae/cab/
12     6       3              3     0       fsroot/aac/bae/cac/
12     6       3              3     0       fsroot/aac/bae/cad/
12     6       3              3     0       fsroot/aac/bae/caf/
12     6       3              3     0       fsroot/aac/bae/cag/
12     6       3              3     0       fsroot/aad/baa/caa/
12     6       3              3     0       fsroot/aad/baa/cac/
12     6       3              3     0       fsroot/aad/baa/cad/
12     6       3              3     0       fsroot/aad/baa/cae/
12     6       3              3     0       fsroot/aad/baa/caf/
12     6       3              3     0       fsroot/aad/baa/cag/
12     6       3              3     0       fsroot/aad/bab/caa/
12     6       3              3     0       fsroot/aad/bab/cab/
12     6       3              3     0       fsroot/aad/bab/cad/
12     6       3              3     0       fsroot/aad/bab/cac/
12     6       3              3     0       fsroot/aad/bab/caf/
12     6       3              3     0       fsroot/aad/bab/cag/
12     6       3              3     0       fsroot/aad/bac/caa/
12     6       3              3     0       fsroot/aad/bac/cab/
12     6       3              3     0       fsroot/aad/bac/cad/
12     6       3              3     0       fsroot/aad/bac/cae/
12     6       3              3     0       fsroot/aad/bac/caf/
12     6       3              3     0       fsroot/aad/bac/cag/
12     6       3              3     0       fsroot/aad/bad/caa/
12     6       3              3     0       fsroot/aad/bad/cab/
12     6       3              3     0       fsroot/aad/bad/cac/
12     6       3              3     0       fsroot/aad/bad/cad/
12     6       3              3     0       fsroot/aad/bae/caa/
12     6       3              3     0       fsroot/aad/bae/cab/
12     6       3              3     0       fsroot/aad/bae/cac/
12     6       3              3     0       fsroot/aad/bae/cad/
12     6       3              3     0       fsroot/aad/bae/caf/
12     6       3              3     0       fsroot/aad/bae/cag/
12     6       3              3     0       fsroot/aad/baf/caa/
12     6       3              3     0       fsroot/aad/baf/cac/
12     6       3              3     0       fsroot/aad/baf/cad/
12     6       3              3     0       fsroot/aad/baf/cae/
12     6       3              3     0       fsroot/aad/baf/caf/
12     6       3              3     0       fsroot/aad/baf/cag/
12     6       3              3     0       fsroot/aad/bag/caa/
12     6       3              3     0       fsroot/aad/bag/cab/
12     6       3              3     0       fsroot/aad/bag/cad/
12     6       3              3     0       fsroot/aad/bag/cae/
12     6       3              3     0       fsroot/aad/bag/caf/
12     6       3              3     0       fsroot/aad/bag/cag/
